showID,title,season,episode,writers
1,The Flash,1,15,Greg Berlanti|Andrew Kreisberg|Geoff Johns
2,Supernatural,1,12,Eric Kripke|Robert Singer|Sera Gamble
3,The Originals,5,13,Julie Pleac|L.J. Smith
4,Teen Wolf,1,12,Jeff Davis|Jeph Loeb
5,Daredevil,1,3,Drew Goddard|Steven S. DeKnight|Douglas Petrie
6,The Punisher,2,13,Gerry Conway|Steve Lightfoot|John Romita Jr.
7,The Arrow,2,7,Greg Berlanti|Marc Guggenheim|Wendy Mericle
8,The Vampire Diaries,8,16,Julie Pleac|Kevin Williamson|Andrew Kreisberg
9,Supergirl,2,5,Greg Berlanti|Ali Adler|Sterling Gates
10,Legacies,2,14,Julie Pleac|Brett Matthews|Marguerite MacIntyre
